Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1141305357,G,70.5402,23.9032,-35.607,56.0061,42.8862,1.0821,-0.9796,1,G,115.491,-24.9645,35.2321,107.116,43.1802,1.64,2.1873,-1,89.4307
167807,1142208759,G,131.458,-53.7099,-15.0529,119.038,55.7794,1.502,-2.8683,-1,G,46.8399,28.8036,14.2384,34.082,32.1307,0.9237,0.4591,1,87.8844
167807,1141317139,G,84.0397,-24.1873,-28.2059,75.3795,37.1564,1.4564,-2.2796,1,G,186.971,34.2847,35.2717,180.385,49.1887,2.0107,0.7996,-1,88.7675
167807,1141838452,G,40.8553,-0.4261,-40.8111,1.8488,40.8134,0.0453,-1.5812,1,G,62.0438,-10.0719,38.9932,-47.1965,40.273,-0.9979,1.8236,-1,91.7513
167807,1142302497,G,99.5255,-36.4916,-3.6757,-92.5212,36.6763,-1.6556,-3.0412,-1,G,246.597,51.3044,14.5645,-240.76,53.3317,-2.2125,0.2766,1,91.5744
167807,1142764041,G,100.463,46.2031,17.9983,87.3739,49.5849,1.3319,0.3715,1,G,29.4359,-25.8427,-13.5828,3.7584,29.1948,0.1284,-2.6577,-1,90.1923
167807,1142251070,G,32.3066,17.0605,23.4475,14.2431,28.9973,0.4733,0.9418,-1,G,97.5293,-52.4821,-41.2103,71.1287,66.7283,0.9272,-2.4759,1,89.4361
167807,1143311274,G,118.624,24.3085,21.307,-114.135,32.3248,-1.9742,0.7197,-1,G,25.6103,-17.1555,-18.8203,2.7135,25.4659,0.1064,-2.31,1,91.2771
167807,1144331044,G,61.1726,43.5611,-19.514,-38.2584,47.7323,-0.7339,-0.4212,-1,G,50.3017,-39.278,17.2496,-26.2667,42.8988,-0.5793,2.7278,1,90.7719
167807,1144376236,G,45.1047,-43.738,-2.3094,-10.7739,43.799,-0.2436,-3.0888,1,G,53.7412,46.8638,-0.5847,-26.2972,46.8675,-0.5352,-0.0125,-1,91.532
167807,1143967358,G,51.7256,-14.8738,-49.068,-6.8282,51.2728,-0.1328,-1.8651,-1,G,41.5534,12.5143,36.6901,14.9635,38.7655,0.377,1.2421,1,92.0652
167807,1144460775,G,78.5528,27.0356,-21.2101,70.6381,34.3626,1.4683,-0.6652,-1,G,32.997,-24.0921,21.3666,-7.1991,32.2019,-0.2217,2.4161,1,91.7069
167807,1144073329,G,43.6482,2.8603,-42.0142,-11.4794,42.1115,-0.2693,-1.5028,-1,G,64.3047,-53.3944,14.2697,32.8709,55.2683,0.5643,2.8805,1,88.7286
167807,1144439401,G,74.9156,20.138,30.8506,-65.2306,36.8416,-1.3361,0.9925,-1,G,42.5168,-7.8202,-40.4868,-10.3601,41.2352,-0.2487,-1.7616,1,88.4976
167807,1143866085,G,99.2434,-27.1366,27.2107,91.501,38.4293,1.6021,2.3548,1,G,45.9157,26.1767,-29.8422,23.0752,39.696,0.5527,-0.8507,-1,89.0821
167807,1143758795,G,58.3181,-10.2165,-43.9742,36.9173,45.1454,0.7465,-1.7991,1,G,37.5333,8.6951,35.567,-8.2536,36.6144,-0.2236,1.331,-1,91.0653
